iter	Passed	Remaining
0	153	45884
1	166	24856
2	180	17889
3	194	14403
4	207	12271
5	221	10830
6	225	9458
7	237	8657
8	247	8010
9	256	7448
10	265	6970
11	274	6589
12	282	6245
13	292	5970
14	301	5726
15	310	5516
16	320	5332
17	329	5154
18	339	5022
19	349	4893
20	358	4766
21	367	4645
22	376	4535
23	385	4437
24	393	4333
25	403	4252
26	413	4177
27	425	4133
28	434	4062
29	443	3993
30	453	3933
31	462	3870
32	471	3817
33	480	3761
34	489	3707
35	499	3661
36	507	3609
37	516	3563
38	526	3522
39	535	3482
40	544	3437
41	554	3403
42	563	3368
43	572	3331
44	581	3296
45	591	3265
46	599	3227
47	609	3198
48	618	3169
49	628	3140
50	638	3115
51	644	3073
52	653	3045
53	663	3022
54	671	2993
55	681	2967
56	689	2938
57	698	2913
58	707	2889
59	717	2868
60	726	2845
61	734	2820
62	743	2798
63	752	2775
64	762	2756
65	771	2735
66	780	2715
67	789	2694
68	799	2677
69	809	2658
70	821	2648
71	830	2629
72	839	2609
73	848	2591
74	857	2573
75	866	2554
76	876	2537
77	885	2518
78	894	2502
79	903	2483
80	912	2466
81	921	2450
82	930	2432
83	939	2416
84	948	2400
85	958	2385
86	967	2369
87	977	2354
88	986	2338
89	994	2321
90	1004	2306
91	1012	2290
92	1022	2275
93	1031	2259
94	1040	2245
95	1049	2229
96	1058	2215
97	1068	2201
98	1076	2186
99	1085	2171
100	1094	2156
101	1105	2145
102	1114	2131
103	1123	2117
104	1132	2103
105	1141	2088
106	1150	2075
107	1159	2060
108	1168	2047
109	1177	2033
110	1186	2019
111	1194	2005
112	1204	1994
113	1217	1986
114	1226	1973
115	1235	1959
116	1244	1946
117	1253	1933
118	1262	1920
119	1272	1908
120	1278	1891
121	1287	1878
122	1297	1866
123	1306	1854
124	1315	1841
125	1324	1829
126	1333	1816
127	1342	1803
128	1353	1794
129	1364	1784
130	1374	1772
131	1383	1760
132	1392	1748
133	1401	1736
134	1410	1724
135	1421	1714
136	1432	1704
137	1441	1692
138	1447	1676
139	1456	1664
140	1465	1652
141	1475	1641
142	1483	1628
143	1492	1617
144	1500	1604
145	1510	1592
146	1519	1581
147	1529	1570
148	1537	1558
149	1546	1546
150	1555	1535
151	1564	1523
152	1574	1512
153	1582	1500
154	1591	1488
155	1600	1477
156	1609	1466
157	1623	1458
158	1633	1448
159	1641	1436
160	1650	1425
161	1660	1414
162	1669	1403
163	1678	1391
164	1687	1380
165	1697	1369
166	1706	1358
167	1716	1348
168	1725	1337
169	1734	1326
170	1743	1315
171	1752	1304
172	1761	1293
173	1770	1282
174	1779	1270
175	1788	1259
176	1796	1248
177	1806	1238
178	1815	1227
179	1824	1216
180	1834	1205
181	1843	1195
182	1852	1184
183	1861	1173
184	1871	1163
185	1880	1152
186	1890	1142
187	1900	1132
188	1909	1121
189	1918	1110
190	1926	1099
191	1934	1088
192	1943	1077
193	1952	1067
194	1962	1056
195	1972	1046
196	1982	1036
197	1993	1026
198	2001	1016
199	2011	1005
200	2022	996
201	2031	985
202	2040	975
203	2049	964
204	2059	954
205	2068	943
206	2076	933
207	2086	922
208	2097	913
209	2105	902
210	2114	891
211	2123	881
212	2132	871
213	2142	860
214	2150	850
215	2159	839
216	2168	829
217	2177	819
218	2186	808
219	2195	798
220	2204	788
221	2213	777
222	2222	767
223	2231	757
224	2241	747
225	2249	736
226	2258	726
227	2267	715
228	2275	705
229	2284	695
230	2292	684
231	2301	674
232	2310	664
233	2318	654
234	2327	643
235	2336	633
236	2347	624
237	2357	614
238	2366	603
239	2376	594
240	2385	584
241	2397	574
242	2407	564
243	2416	554
244	2425	544
245	2434	534
246	2444	524
247	2453	514
248	2461	504
249	2471	494
250	2480	484
251	2490	474
252	2499	464
253	2509	454
254	2518	444
255	2527	434
256	2536	424
257	2545	414
258	2554	404
259	2563	394
260	2572	384
261	2582	374
262	2591	364
263	2600	354
264	2609	344
265	2618	334
266	2627	324
267	2637	314
268	2647	305
269	2655	295
270	2665	285
271	2673	275
272	2683	265
273	2691	255
274	2701	245
275	2710	235
276	2719	225
277	2728	215
278	2737	206
279	2747	196
280	2756	186
281	2765	176
282	2775	166
283	2783	156
284	2792	146
285	2804	137
286	2815	127
287	2824	117
288	2834	107
289	2843	98
290	2853	88
291	2862	78
292	2871	68
293	2880	58
294	2890	48
295	2899	39
296	2908	29
297	2918	19
298	2928	9
299	2936	0
